version,types,count
R083,deleted,315
R083,newly_added,16538
R083,merged,220
R083,deleted_reused,
R083,merged_reused,
R207,deleted,2876
R207,newly_added,85072
R207,merged,1528
R207,deleted_reused,96
R207,merged_reused,43
R214,deleted,5346
R214,newly_added,114446
R214,merged,1479
R214,deleted_reused,1089
R214,merged_reused,59
R089,deleted,6868
R089,newly_added,41664
R089,merged,2763
R089,deleted_reused,733
R089,merged_reused,22
R202,deleted,2186
R202,newly_added,86349
R202,merged,1075
R202,deleted_reused,90
R202,merged_reused,66
R095,deleted,2336
R095,newly_added,60252
R095,merged,815
R095,deleted_reused,133
R095,merged_reused,97
R086,deleted,1484
R086,newly_added,22624
R086,merged,329
R086,deleted_reused,78
R086,merged_reused,75
